Start,Stop,Line_ID,Color_ID,geometry
Uhlandstraße,Kurfürstendamm,U1,Green,"LINESTRING(13.325556 52.5025, 13.332778 52.504167)"
Kurfürstendamm,Wittenbergplatz,U1,Green,"LINESTRING(13.332778 52.504167, 13.343056 52.501944)"
Wittenbergplatz,Nollendorfplatz,U1,Green,"LINESTRING(13.343056 52.501944, 13.353889 52.499167)"
Nollendorfplatz,Kurfürstenstraße,U1,Green,"LINESTRING(13.353889 52.499167, 13.361944 52.5)"
Kurfürstenstraße,Gleisdreieck,U1,Green,"LINESTRING(13.361944 52.5, 13.375278 52.498333)"
Gleisdreieck,Möckernbrücke,U1,Green,"LINESTRING(13.375278 52.498333, 13.382778 52.499167)"
Möckernbrücke,Hallesches Tor,U1,Green,"LINESTRING(13.382778 52.499167, 13.391111 52.497778)"
Hallesches Tor,Prinzenstraße,U1,Green,"LINESTRING(13.391111 52.497778, 13.406111 52.498333)"
Prinzenstraße,Kottbusser Tor,U1,Green,"LINESTRING(13.406111 52.498333, 13.418056 52.499167)"
Kottbusser Tor,Görlitzer Bahnhof,U1,Green,"LINESTRING(13.418056 52.499167, 13.428 52.499)"
Görlitzer Bahnhof,Schlesisches Tor,U1,Green,"LINESTRING(13.428 52.499, 13.441667 52.500833)"
Schlesisches Tor,Warschauer Straße,U1,Green,"LINESTRING(13.441667 52.500833, 13.4491 52.5051)"
Warschauer Straße,Schlesisches Tor,U1,Green,"LINESTRING(13.4491 52.5051, 13.441667 52.500833)"
Schlesisches Tor,Görlitzer Bahnhof,U1,Green,"LINESTRING(13.441667 52.500833, 13.428 52.499)"
Görlitzer Bahnhof,Kottbusser Tor,U1,Green,"LINESTRING(13.428 52.499, 13.418056 52.499167)"
Kottbusser Tor,Prinzenstraße,U1,Green,"LINESTRING(13.418056 52.499167, 13.406111 52.498333)"
Prinzenstraße,Hallesches Tor,U1,Green,"LINESTRING(13.406111 52.498333, 13.391111 52.497778)"
Hallesches Tor,Möckernbrücke,U1,Green,"LINESTRING(13.391111 52.497778, 13.382778 52.499167)"
Möckernbrücke,Gleisdreieck,U1,Green,"LINESTRING(13.382778 52.499167, 13.375278 52.498333)"
Gleisdreieck,Kurfürstenstraße,U1,Green,"LINESTRING(13.375278 52.498333, 13.361944 52.5)"
Kurfürstenstraße,Nollendorfplatz,U1,Green,"LINESTRING(13.361944 52.5, 13.353889 52.499167)"
Nollendorfplatz,Wittenbergplatz,U1,Green,"LINESTRING(13.353889 52.499167, 13.343056 52.501944)"
